,"('Adj Close', '^SPBLPGPT')","('Close', '^SPBLPGPT')","('High', '^SPBLPGPT')","('Low', '^SPBLPGPT')","('Open', '^SPBLPGPT')","('Volume', '^SPBLPGPT')",index
2015-12-31,9848.58984375,9848.58984375,9848.58984375,9803.5302734375,9825.150390625,0.0,9848.59
2016-01-31,9391.83984375,9391.83984375,9398.3095703125,9307.6201171875,9307.9697265625,0.0,9391.84
2016-02-29,10742.1904296875,10742.1904296875,10755.58984375,10672.0302734375,10706.599609375,0.0,10742.19
2016-03-31,12057.9296875,12057.9296875,12076.0,11649.0703125,12075.3701171875,0.0,12057.93
2016-04-30,13703.6904296875,13703.6904296875,13704.5302734375,13501.5302734375,13501.5595703125,0.0,13702.47
2016-05-31,13529.7001953125,13529.7001953125,13631.580078125,13512.9599609375,13601.0400390625,0.0,13535.97
2016-06-30,13856.8798828125,13856.8798828125,13859.41015625,13469.25,13469.25,0.0,13856.9
2016-07-31,15210.9697265625,15210.9697265625,15213.8203125,14908.7197265625,14911.73046875,0.0,15210.97
2016-08-31,15130.240234375,15130.240234375,15450.490234375,15101.7998046875,15450.4501953125,0.0,15130.24
2016-09-30,15296.98046875,15296.98046875,15432.5595703125,15255.5595703125,15269.23046875,0.0,15296.98
2016-10-31,15170.2197265625,15170.2197265625,15183.5498046875,15079.7900390625,15083.3798828125,0.0,15171.04
2016-11-30,15415.0,15415.0,15451.16015625,15263.3896484375,15293.6396484375,0.0,15414.97
2016-12-31,15566.9599609375,15566.9599609375,15650.9599609375,15523.3095703125,15616.7001953125,0.0,15566.96
2017-01-31,15983.9501953125,15983.9501953125,16004.830078125,15915.2099609375,15942.080078125,0.0,15983.95
2017-02-28,15766.1201171875,15766.1201171875,15853.1904296875,15742.3603515625,15771.8701171875,0.0,15766.12
2017-03-31,15757.009765625,15757.009765625,15774.7099609375,15615.7802734375,15698.4501953125,0.0,15757.01
2017-04-30,15559.400390625,15559.400390625,15572.1298828125,15500.099609375,15500.099609375,0.0,15559.3
